AK	14572.392
AL	7568.2295
AR	8019.2544
AZ	10154.528
CA	12629.705
CO	9502.688
CT	11365.458
DC	12998.031
DE	10360.069
FL	8827.007
GA	8925.802
HI	12775.744
IA	8312.573
ID	9827.186
IL	9790.68
IN	8756.064
KS	8455.4795
KY	8278.596
LA	8638.663
MA	10279.981
MD	12608.943
ME	8679.999
MI	9754.42
MN	9948.239
MO	8724.634
MS	8229.167
MT	9252.801
NC	9089.435
ND	9827.643
NE	9331.682
NH	9289.661
NJ	10678.994
NM	9619.838
NV	10291.716
NY	11795.493
OH	8808.138
OK	8353.649
OR	10436.202
PA	9100.042
RI	10509.564
SC	9132.427
SD	10141.68
TN	8153.952
TX	9243.9795
UT	9749.906
VA	8887.757
VT	11766.306
WA	10543.141
WI	9270.711
WV	7968.481
WY	11398.484
